MODEL SOLUTION,MUTATION,INPUT 1,INPUT 2,EXPECTED RESULT,ACTUAL RESULT
ADD,mutant13,5,8,13,-1
ADD,mutant15,5,8,13,0
ADD,mutant21,5,8,13,262143
ADD,mutant16,5,8,13,0
ADD,mutant12,5,8,13,26
ADD,mutant19,5,8,13,5
ADD,mutant10,5,8,13,40
ADD,mutant14,5,8,13,1600
ADD,mutant18,5,8,13,-14
ADD,mutant20,5,8,13,2208
ADD,mutant5,5,8,13,-1
ADD,mutant17,5,8,13,-8
ADD,mutant3,5,8,13,-1
ADD,mutant1,5,8,13,-1
ADD,mutant2,5,8,13,-1
ADD,mutant6,3,7,10,12
ADD,mutant4,3,7,10,0
ADD,mutant11,3,7,10,0
ADD,mutant9,3,7,10,0
ADD,mutant8,3,7,10,-10
ADD,mutant7,3,7,10,8
ADD,mutant13,3,7,10,-1
ADD,mutant15,3,7,10,0
ADD,mutant21,3,7,10,2097151
ADD,mutant16,3,7,10,3
ADD,mutant12,3,7,10,20
ADD,mutant19,3,7,10,3
ADD,mutant10,3,7,10,21
ADD,mutant14,3,7,10,441
ADD,mutant18,3,7,10,-5
ADD,mutant20,3,7,10,920
ADD,mutant5,3,7,10,-1
ADD,mutant17,3,7,10,-4
ADD,mutant3,3,7,10,-1
ADD,mutant1,3,7,10,-1
ADD,mutant2,3,7,10,-1
ADD,mutant6,3,4,7,9
ADD,mutant4,3,4,7,0
ADD,mutant11,3,4,7,0
ADD,mutant9,3,4,7,0
ADD,mutant8,3,4,7,-7
ADD,mutant7,3,4,7,5
ADD,mutant13,3,4,7,-1
ADD,mutant15,3,4,7,0
ADD,mutant21,3,4,7,16777215
ADD,mutant16,3,4,7,0
ADD,mutant12,3,4,7,14
ADD,mutant19,3,4,7,3
ADD,mutant10,3,4,7,12
ADD,mutant14,3,4,7,144
ADD,mutant18,3,4,7,-8
ADD,mutant20,3,4,7,88
ADD,mutant5,3,4,7,-1
ADD,mutant17,3,4,7,-4
ADD,mutant3,3,4,7,-1
ADD,mutant1,3,4,7,-1
ADD,mutant2,3,4,7,-1
ADD,mutant6,5,1,6,8
ADD,mutant4,5,1,6,0
ADD,mutant11,5,1,6,5
ADD,mutant9,5,1,6,0
ADD,mutant8,5,1,6,-6
ADD,mutant7,5,1,6,4
ADD,mutant13,5,1,6,-1
ADD,mutant15,5,1,6,5
ADD,mutant21,5,1,6,33554431
ADD,mutant16,5,1,6,1
ADD,mutant12,5,1,6,12
ADD,mutant19,5,1,6,0
ADD,mutant10,5,1,6,5
ADD,mutant14,5,1,6,25
ADD,mutant18,5,1,6,-5
ADD,mutant20,5,1,6,162
ADD,mutant5,5,1,6,-1
ADD,mutant17,5,1,6,0
ADD,mutant3,5,1,6,-1
ADD,mutant1,5,1,6,-1
ADD,mutant2,5,1,6,-1
ADD,mutant6,7,4,11,13
ADD,mutant4,7,4,11,0
ADD,mutant11,7,4,11,1
ADD,mutant9,7,4,11,0
ADD,mutant8,7,4,11,-11
ADD,mutant7,7,4,11,9
ADD,mutant13,7,4,11,-1
ADD,mutant15,7,4,11,1
ADD,mutant21,7,4,11,1048575
ADD,mutant16,7,4,11,4
ADD,mutant12,7,4,11,22
ADD,mutant19,7,4,11,3
ADD,mutant10,7,4,11,28
ADD,mutant14,7,4,11,784
ADD,mutant18,7,4,11,-4
ADD,mutant20,7,4,11,960
ADD,mutant5,7,4,11,-1
ADD,mutant17,7,4,11,0
ADD,mutant3,7,4,11,-1
ADD,mutant1,7,4,11,-1
ADD,mutant2,7,4,11,-1
ADD,mutant6,7,1,8,10
ADD,mutant4,7,1,8,0
ADD,mutant11,7,1,8,7
ADD,mutant9,7,1,8,0
ADD,mutant8,7,1,8,-8
ADD,mutant7,7,1,8,6
ADD,mutant13,7,1,8,-1
ADD,mutant15,7,1,8,7
ADD,mutant21,7,1,8,8388607
ADD,mutant16,7,1,8,1
ADD,mutant12,7,1,8,16
ADD,mutant19,7,1,8,0
ADD,mutant10,7,1,8,7
ADD,mutant14,7,1,8,49
ADD,mutant18,7,1,8,-7
ADD,mutant20,7,1,8,898
ADD,mutant5,7,1,8,-1
ADD,mutant17,7,1,8,0
ADD,mutant3,7,1,8,-1
ADD,mutant1,7,1,8,-1
ADD,mutant2,7,1,8,-1
ADD,mutant6,8,6,14,16
ADD,mutant4,8,6,14,0
ADD,mutant11,8,6,14,1
ADD,mutant9,8,6,14,0
ADD,mutant8,8,6,14,-14
ADD,mutant7,8,6,14,12
ADD,mutant13,8,6,14,-1
ADD,mutant15,8,6,14,1
ADD,mutant21,8,6,14,131071
ADD,mutant16,8,6,14,0
ADD,mutant12,8,6,14,28
ADD,mutant19,8,6,14,2
ADD,mutant10,8,6,14,48
ADD,mutant14,8,6,14,2304
ADD,mutant18,8,6,14,-15
ADD,mutant20,8,6,14,2432
ADD,mutant5,8,6,14,-1
ADD,mutant17,8,6,14,-6
ADD,mutant3,8,6,14,-1
ADD,mutant1,8,6,14,-1
ADD,mutant2,8,6,14,-1
ADD,mutant6,1,2,3,5
ADD,mutant4,1,2,3,0
